produto_comercial,empresa,ingrediente_2,ingrediente
Campestre 240 SL,BRA Defensivos Agricolas Ltda. (Piracicaba),picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Canastra,Nortox S.A. - Arapongas,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Canion,Adama Brasil S.A. - Londrina,hexazinona (triazinona),hexazinona (triazinona)
Capote,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Capri,Adama Brasil S.A. - Londrina,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Cardeal,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,fomesafem (eteretilica),fomesafem (eteretilica)
Cartago,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Castle,Adama Brasil S.A. - Londrina,diurom (ureia) and MSMA (organoarsenico),diurom (ureia) and msma (organoarsenico)
Celebrate,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) and quizalofope-P-etilico (Acido ariloxifenoxipropionico),cletodim (oxima ciclohexanodiona) and quizalofope-p-etilico (acido ariloxifenoxipropionico)
Cenit Gat,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Census - GAT,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Centurion,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Chaparral,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and metsulfurom-metilico (sulfonilurea),aminopiralide (acido piridiniloxialcanoico) and metsulfurom-metilico (sulfonilurea)
Chopper Florestal,Basf S.A. – Sao Paulo,imazapir (imidazolinona),imazapir (imidazolinona)
Classic,Du_Pont do Brasil S.A. - Barueri (Alphaville),clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clean Spray,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,"2,4_D amina (acido ariloxialcanoico)","2,4_d amina (acido ariloxialcanoico)"
Cletodim CCAB 240 EC,CCAB Agro S.A. – Sao Paulo,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Cletodim Nortox,Nortox S.A. - Arapongas,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Clincher,Dow Agrosciences Industrial Ltda. - Sao Paulo,cialofope-butilico (Acido ariloxifenoxipropionico),cialofope-butilico (acido ariloxifenoxipropionico)
Clipper Sinon,Sinon do Brasil Ltda. - Porto Alegre /RS.,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clomanex 500 EC,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Clomazone 500 EC FMC,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Clomom,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clorim,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clorimurom Nortox,Nortox S.A. - Arapongas,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clorimuron CCAB 250 WG,CCAB Agro S.A. – Sao Paulo,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clorimuron Master Nortox,Nortox S.A. - Arapongas,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Clorimuron Prentiss,Prentiss Química Ltda. - Campo Largo/PR,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Coact,Dow Agrosciences Industrial Ltda. - Sao Paulo,diclosulam (sulfonanilida triazolopirimidina),diclosulam (sulfonanilida triazolopirimidina)
Coliseo,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Combine 500 SC,Proventis Lifescience Defensivos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Commence,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Compass,Albaugh Agro Brasil Ltda.- Sao Paulo,Ametrina (triazina),ametrina (triazina)
Compete,Proventis Lifescience Defensivos Agricolas Ltda,Mesotriona (Tricetona),mesotriona (tricetona)
Confidence,Ouro Fino Química S.A. - Uberaba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Conquest,Adama Brasil S.A. - Londrina,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Contain,Basf S.A. – Sao Paulo,imazapir (imidazolinona),imazapir (imidazolinona)
Coriscobr,Ouro Fino Química S.A. - Uberaba,sulfentrazona (triazolona),sulfentrazona (triazolona)
CoronelBR,Ouro Fino Química S.A. - Uberaba,metribuzim (triazinona),metribuzim (triazinona)
