id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
65	Atrazina 500 SC Alamos	Alamos do Brasil Ltda.	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-500-sc-alamos_10684.html	17918	500		Suspensão Concentrada (SC)					x																																			x																																																								x																																																	
66	Atrazina 500 SC Rainbow	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-500-sc-rainbow_10623.html	10018	500		Suspensão Concentrada (SC)					x																																			x																																																								x																																																	
67	Atrazina Agro Import	Agro Import do Brasil Ltda.	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-agro-import_10878.html	9019	900		Granulado Dispersível (WG)					x																																			x																																																								x																																																	
68	Atrazina CCAB 500 SC	CCAB Agro S.A. – Sao Paulo	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-ccab-500-sc_10884.html	9519	500		Suspensão Concentrada (SC)					x																																			x																																																								x																																																	
69	Atrazina Fersol 500 SC	Ameribras Indústria e Comércio Ltda.	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-fersol-500-sc_10889.html	10319	500		Suspensão Concentrada (SC)					x																																			x																																																								x																																																	
70	Atrazina Max Nortox	Nortox S.A. - Arapongas	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-max-nortox_10613.html	8818	900		Granulado Dispersível (WG)					x																																			x																																																								x																																																	
71	Atrazina Nortox 500 SC	Nortox S.A. - Arapongas	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-nortox-500-sc_2934.html	596	500		Suspensão Concentrada (SC)					x																																			x																																																								x																																																	
72	Atrazina SD 500 SC	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina-sd-500-sc_10763.html	31818	500		Suspensão Concentrada (SC)					x																																			x																																																																																																									
73	Atulamina 806 SL	AllierBrasil Agro Ltda.	2,4-D (acido ariloxialcanoico)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/atulamina806sl.pdf	21216	806	670	Concentrado solúvel (SL)				x	x		x							x		x		x			x																			x				x																																																																																																					
74	AUG 103	Avgust Crop Protection Importação e Exportação Ltda.	clorimurom-etilico (sulfonilurea) + imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/aug-103_10783.html	34818	150 + 450		Granulado Dispersível (WG)	x																																																																																																																																																
75	AUG 122	Avgust Crop Protection Importação e Exportação Ltda.	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/aug-122_10268.html	15816	40		Suspensão Concentrada (SC)					x																																																																																																																																												
76	AUG 126	Avgust Crop Protection Importação e Exportação Ltda.	quizalofope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/aug-126_10767.html	32218	125		Concentrado Emulsionável (EC)	x									x													x																																										x																																																																																
77	Aura	Basf S.A. – Sao Paulo	profoxidim (oxima ciclohexanodiona)	https://www.agrolink.com.br/agrolinkfito/produto/aura_2950.html	7499	200		Concentrado Emulsionável (EC)																		x																																																																																																																															
78	Aura 200	Basf S.A. – Sao Paulo	profoxidim (oxima ciclohexanodiona)	https://www.agrolink.com.br/agrolinkfito/produto/aura-200_8084.html	7107	200		Concentrado Dispersível (DC)																		x																																																																																																																															
79	Aurora	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	10706	400		Concentrado Emulsionável (EC)	x				x					x				x							x																			x		x										x					x														x																																																																					x					
80	Aurora 400 EC	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/aurora-400-ec_3277.html	4900	400		Concentrado Emulsionável (EC)	x				x					x				x				x																						x		x				x						x																			x																																																																										
81	Aval	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/aval_8034.html	14108	500		Suspensão Concentrada (SC)																																								x																																																																																																									
