produto_comercial,empresa,numero,ing_ativo
DominumXT-S,Dow Agrosciences Industrial Ltda. - São Paulo,4820,Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Dontor,Dow Agrosciences Industrial Ltda. - São Paulo,2028702,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Dontor Ultra,Dow Agrosciences Industrial Ltda. - São Paulo,4620,"2,4-D-dimetilamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
Dorado,Adama Brasil S.A. - Londrina,6415,Triclopir-butotílico (ácido piridiniloxialcanóico)
Exemplo,Albaugh Agro Brasil Ltda.- São Paulo,9119,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Facca,BRA Defensivos Agrícolas Ltda. (Piracicaba),2612,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Famoso,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,10213,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Field,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,5614,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Flanker,Dow Agrosciences Industrial Ltda. - São Paulo,8312,"2,4-d-triisopropanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Fluente,Ouro Fino Química S.A. - Uberaba,20916,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Fusta WG,Monsanto do Brasil Ltda - São Paulo,4814,glifosato-sal de amônio (glicina substituída)
Galop M,Adama Brasil S.A. - Londrina,5914,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Garlon 480 BR,Dow Agrosciences Industrial Ltda. - São Paulo,319001,Triclopir-butotílico (ácido piridiniloxialcanóico)
Gli Ouro,Ouro Fino Química S.A. - Uberaba,9910,glifosato (glicina substituída)
Glif- All,Alamos do Brasil Ltda.,4012,glifosato (glicina substituída)
Glifocopa 720 WG,COPALLIANCE - Cooperativa de Consumo de Produtos Agropecuários Ltda - Campinas,32418,glifosato-sal de amônio (glicina substituída)
Glifoready,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,2918,glifosato (glicina substituída)
Glifoready Nufarm,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,3018,glifosato (glicina substituída)
Gliforte,Tundra Agroindustrial Ltda.,8514,glifosato (glicina substituída)
Glifosal,Xingfa e Wenda do Brasil Ltda,13719,glifosato-sal de isopropilamina (glicina substituída)
Glifosato Alta 480 SL,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,318,glifosato (glicina substituída)
Glifosato Atanor IV,Albaugh Agro Brasil Ltda.- São Paulo,16418,glifosato (glicina substituída)
Glifosato Atar 48,Albaugh Agro Brasil Ltda.- São Paulo,6707,glifosato (glicina substituída)
Glifosato CHD'S,CHDS do Brasil Comércio de Insumos Agrícolas Ltda,3812,glifosato (glicina substituída)
Glifosato Fersol 480,Ameribrás Indústria e Comércio Ltda.,204,glifosato (glicina substituída)
Glifosato High Load,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,3118,glifosato (glicina substituída)
Glifosato IPA 480 Rainbow,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,5417,glifosato (glicina substituída)
Glifosato Nortox SL,Nortox S.A. - Arapongas,7316,glifosato (glicina substituída)
Glifosato Nortox 480 BR,Nortox S.A. - Arapongas,14007,glifosato-sal de isopropilamina (glicina substituída)
Glifosato Nortox 480 SL,Nortox S.A. - Arapongas,5712,glifosato (glicina substituída)
Glifosato Nuf BR,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,13917,glifosato (glicina substituída)
Glifosato Soma 480 SL,CCAB Agro S.A. – São Paulo,42018,glifosato-sal de isopropilamina (glicina substituída)
Glifosato UPL 480 SL,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,36719,glifosato-sal de isopropilamina (glicina substituída)
Glifosato Zamba,Albaugh Agro Brasil Ltda.- São Paulo,3707,glifosato (glicina substituída)
Glifosato 480 Agripec,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,4095,glifosato (glicina substituída)
Glifosato 480 SL Alamos,Alamos do Brasil Ltda.,39717,glifosato (glicina substituída)
Glifosato 72 WG Alamos,Alamos do Brasil Ltda.,25119,glifosato-sal de amônio (glicina substituída)
Glifosato 720 WG Nortox,Nortox S.A. - Arapongas,6117,glifosato (glicina substituída)
Glifoxin,Helm do Brasil Mercantil Ltda,8410,glifosato (glicina substituída)
Glister,Sinon do Brasil Ltda. - Porto Alegre /RS.,203,glifosato-sal de isopropilamina (glicina substituída)
Gli-Up 720 WG,Cropchem Ltda,6315,glifosato-sal de amônio (glicina substituída)
Glizmax Prime,Dow Agrosciences Industrial Ltda. - São Paulo,3914,glifosato (glicina substituída)
Glyphon,Nortox S.A. - Arapongas,3416,glifosato (glicina substituída)
Grant,BRA Defensivos Agrícolas Ltda. (Piracicaba),7508,"2,4-D (ácido ariloxialcanóico)"
Graslan 100 Peletizado,Proventis Lifescience Defensivos Agrícolas Ltda,3203,tebutiurom (uréia)
Heat,Basf S.A. – São Paulo,1013,saflufenacil (pirimidinadiona)
Herbimax 806 SL,Ferbru Participações S.A.,40219,"2,4-D (ácido ariloxialcanóico)"
