id_herb,produto_comercial,empresa,ingrediente,link,registro,dose_(g/L)_(g/kg),equivalente_acido,Formulacao,culturas,bula,form_sigla,form_tipo,dose_gkg,dose_gL,ia_1,ia_2,ia_3,dose_gkg_ia_1
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),citros,x,wg,seco,800,NA,diurom ,,,800
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),cacau,x,wg,seco,800,NA,diurom ,,,800
391,Katana,ISK Biosciences do Brasil Defensivos Agricolas Ltda,flazasulfurom (sulfonilurea),https://www.agrolink.com.br/agrolinkfito/produto/katana_3010.html,297,250,NA,granulado dispersível (wg),café,x,wg,seco,250,NA,flazasulfurom ,,,250
391,Katana,ISK Biosciences do Brasil Defensivos Agricolas Ltda,flazasulfurom (sulfonilurea),https://www.agrolink.com.br/agrolinkfito/produto/katana_3010.html,297,250,NA,granulado dispersível (wg),cana,x,wg,seco,250,NA,flazasulfurom ,,,250
391,Katana,ISK Biosciences do Brasil Defensivos Agricolas Ltda,flazasulfurom (sulfonilurea),https://www.agrolink.com.br/agrolinkfito/produto/katana_3010.html,297,250,NA,granulado dispersível (wg),tomate,x,wg,seco,250,NA,flazasulfurom ,,,250
392,Kelion 50 WG,Nichino do Brasil Agroquimicos Ltda.,orthosulfamuron (sulfonilurea),https://www.agrolink.com.br/agrolinkfito/produto/kelion-50-wg_8527.html,2511,500,NA,granulado dispersível (wg),arroz,x,wg,seco,500,NA,orthosulfamuron ,,,500
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),soja,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),milho,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),algodão,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),trigo,x,wg,seco,700,NA,saflufenacil ,,,700
